,Week_Index,Week_Ending,Vehicle,Ending_Mileage,Pred_Ending_Mileage
0,1,2021-10-02,160,66002.0,66002.0
1,2,2021-10-09,160,66037.0,66037.0
2,3,2021-10-16,160,66063.0,66063.0
3,4,2021-10-23,160,66131.0,66131.0
4,5,2021-10-30,160,66246.0,66246.0
5,6,2021-11-06,160,66315.0,66315.0
6,7,2021-11-13,160,66361.0,66361.0
7,8,2021-11-20,160,66442.0,66442.0
8,9,2021-11-27,160,,66478.0
9,10,2021-12-04,160,66514.0,66514.0
10,11,2021-12-11,160,66570.0,66570.0
11,12,2021-12-18,160,66629.0,66629.0
12,13,2021-12-25,160,66667.0,66667.0
13,14,2022-01-01,160,66707.0,66707.0
14,15,2022-01-08,160,66776.0,66776.0
15,16,2022-01-15,160,66839.0,66839.0
16,17,2022-01-22,160,66885.0,66885.0
17,18,2022-01-29,160,66942.0,66942.0
18,19,2022-02-05,160,67700.0,67700.0
19,20,2022-02-12,160,67057.0,67057.0
20,21,2022-02-19,160,67115.0,67115.0
21,22,2022-02-26,160,67177.0,67177.0
22,23,2022-03-05,160,67234.0,67234.0
23,24,2022-03-12,160,67292.0,67292.0
24,25,2022-03-19,160,67332.0,67332.0
25,26,2022-03-26,160,,67354.5
26,27,2022-04-02,160,67377.0,67377.0
27,28,2022-04-09,160,,67377.0
28,29,2022-04-16,160,,67377.0
0,1,2021-10-02,174,154342.0,154342.0
1,2,2021-10-09,174,154914.0,154914.0
2,3,2021-10-16,174,155602.0,155602.0
3,4,2021-10-23,174,156400.0,156400.0
4,5,2021-10-30,174,157105.0,157105.0
5,6,2021-11-06,174,157600.0,157600.0
6,7,2021-11-13,174,,158049.0
7,8,2021-11-20,174,158498.0,158498.0
8,9,2021-11-27,174,158900.0,158900.0
9,10,2021-12-04,174,,159317.33333333334
10,11,2021-12-11,174,,159734.66666666666
11,12,2021-12-18,174,160152.0,160152.0
12,13,2021-12-25,174,160535.0,160535.0
13,14,2022-01-01,174,160931.0,160931.0
14,15,2022-01-08,174,161420.0,161420.0
15,16,2022-01-15,174,161910.0,161910.0
16,17,2022-01-22,174,162421.0,162421.0
