Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,147,211705,211947,242,DN,2008,Chevy,Silverado
10/23/2021,147,212838,212893,55,DN,2008,Chevy,Silverado
1/1/2022,147,212893,212923,30,DN,2008,Chevy,Silverado
1/29/2022,147,212963,213013,50,DN,2008,Chevy,Silverado
2/5/2022,147,213013,213063,50,DN,2008,Chevy,Silverado
2/12/2022,147,213065,213141,76,DN,2008,Chevy,Silverado
2/19/2022,147,213141,213179,38,DN,2008,Chevy,Silverado
2/26/2022,147,213179,213247,68,DN,2008,Chevy,Silverado
3/26/2022,147,213247,213393,146,DN,2008,Chevy,Silverado
4/2/2022,147,213393,213433,40,DN,2008,Chevy,Silverado
10/2/2021,160,65945,66002,57,CS,2013,Chevy,Silverado
10/9/2021,160,66002,66037,35,CS,2013,Chevy,Silverado
10/16/2021,160,66037,66063,26,CS,2013,Chevy,Silverado
10/23/2021,160,66063,66131,68,CS,2013,Chevy,Silverado
10/30/2021,160,66131,66246,115,CS,2013,Chevy,Silverado
11/6/2021,160,66246,66315,69,CS,2013,Chevy,Silverado
11/13/2021,160,66315,66361,46,CS,2013,Chevy,Silverado
11/20/2021,160,66361,66442,81,CS,2013,Chevy,Silverado
12/4/2021,160,66442,66514,72,CS,2013,Chevy,Silverado
12/11/2021,160,66514,66570,56,CS,2013,Chevy,Silverado
12/18/2021,160,66570,66629,59,CS,2013,Chevy,Silverado
12/25/2021,160,66629,66667,38,CS,2013,Chevy,Silverado
1/1/2022,160,66667,66707,40,CS,2013,Chevy,Silverado
1/8/2022,160,66707,66776,69,CS,2013,Chevy,Silverado
1/15/2022,160,66776,66839,63,CS,2013,Chevy,Silverado
1/22/2022,160,66839,66885,46,CS,2013,Chevy,Silverado
1/29/2022,160,66885,66942,57,CS,2013,Chevy,Silverado
2/5/2022,160,66942,67000,58,CS,2013,Chevy,Silverado
2/12/2022,160,67000,67057,57,CS,2013,Chevy,Silverado
2/19/2022,160,67057,67115,58,CS,2013,Chevy,Silverado
2/26/2022,160,67115,67177,62,CS,2013,Chevy,Silverado
3/5/2022,160,67177,67234,57,CS,2013,Chevy,Silverado
3/12/2022,160,67234,67292,58,CS,2013,Chevy,Silverado
3/19/2022,160,67292,67332,40,CS,2013,Chevy,Silverado
4/2/2022,160,67332,67377,45,CS,2013,Chevy,Silverado
10/9/2021,168,174564,175120,556,PK,2013,Chevy,Silverado
10/16/2021,168,175247,175420,173,PK,2013,Chevy,Silverado
10/23/2021,168,175420,176190,770,PK,2013,Chevy,Silverado
10/30/2021,168,176190,177013,823,PK,2013,Chevy,Silverado
11/6/2021,168,177013,177671,658,PK,2013,Chevy,Silverado
11/13/2021,168,177671,178344,673,PK,2013,Chevy,Silverado
11/20/2021,168,178344,179125,781,PK,2013,Chevy,Silverado
11/27/2021,168,179125,179376,251,PK,2013,Chevy,Silverado
12/4/2021,168,179376,179919,543,PK,2013,Chevy,Silverado
12/11/2021,168,179919,180434,515,PK,2013,Chevy,Silverado
12/18/2021,168,180434,181070,636,PK,2013,Chevy,Silverado
1/15/2022,168,182044,182659,615,PK,2013,Chevy,Silverado
1/22/2022,168,182659,182999,340,PK,2013,Chevy,Silverado
1/29/2022,168,182999,183259,260,PK,2013,Chevy,Silverado
10/16/2021,170,116831,117415,584,DN,2013,Ford,F-150
3/5/2022,170,119326,119637,311,DN,2013,Ford,F-150
3/12/2022,170,119637,120018,381,DN,2013,Ford,F-150
10/2/2021,171,144273,145023,750,DN,2013,Ford,F-150
10/9/2021,171,145023,145307,284,DN,2013,Ford,F-150
10/16/2021,171,145307,146015,708,DN,2013,Ford,F-150
10/23/2021,171,146015,146427,412,DN,2013,Ford,F-150
12/11/2021,171,147550,147858,308,DN,2013,Ford,F-150
1/29/2022,171,148511,148975,464,DN,2013,Ford,F-150
2/12/2022,171,148975,149550,575,DN,2013,Ford,F-150
2/19/2022,171,149550,150875,1325,DN,2013,Ford,F-150
3/12/2022,171,152980,153670,690,DN,2013,Ford,F-150
3/19/2022,171,153670,154900,1230,DN,2013,Ford,F-150
3/26/2022,171,154900,156880,1980,DN,2013,Ford,F-150
10/9/2021,172,145000,145611,611,PK,2013,Ford,F-150
10/16/2021,172,145611,146092,481,PK,2013,Ford,F-150
10/23/2021,172,146092,146786,694,PK,2013,Ford,F-150
10/30/2021,172,146786,147197,411,PK,2013,Ford,F-150
11/6/2021,172,147197,147530,333,PK,2013,Ford,F-150
11/13/2021,172,147530,147690,160,PK,2013,Ford,F-150
11/20/2021,172,147690,148090,400,PK,2013,Ford,F-150
11/27/2021,172,148090,148270,180,PK,2013,Ford,F-150
12/18/2021,172,148738,148955,217,PK,2013,Ford,F-150
10/2/2021,174,153936,154342,406,DN,2014,Ford,F-150
10/9/2021,174,154342,154914,572,DN,2014,Ford,F-150
10/16/2021,174,155004,155602,598,DN,2014,Ford,F-150
10/23/2021,174,155700,156400,700,DN,2014,Ford,F-150
10/30/2021,174,156552,157105,553,DN,2014,Ford,F-150
11/6/2021,174,157105,157600,495,DN,2014,Ford,F-150
11/20/2021,174,158017,158498,481,DN,2014,Ford,F-150
11/27/2021,174,158498,158900,402,DN,2014,Ford,F-150
12/18/2021,174,159711,160152,441,DN,2014,Ford,F-150
12/25/2021,174,160152,160535,383,DN,2014,Ford,F-150
1/1/2022,174,160535,160931,396,DN,2014,Ford,F-150
1/8/2022,174,160931,161420,489,DN,2014,Ford,F-150
1/15/2022,174,161420,161910,490,DN,2014,Ford,F-150
1/22/2022,174,161910,162421,511,DN,2014,Ford,F-150
1/29/2022,174,162421,163023,602,DN,2014,Ford,F-150
2/5/2022,174,163023,163456,433,DN,2014,Ford,F-150
2/12/2022,174,163456,164100,644,DN,2014,Ford,F-150
2/19/2022,174,164100,164613,513,DN,2014,Ford,F-150
2/26/2022,174,164613,165070,457,DN,2014,Ford,F-150
3/5/2022,174,165070,165543,473,DN,2014,Ford,F-150
3/12/2022,174,165543,165911,368,DN,2014,Ford,F-150
3/19/2022,174,165911,166378,467,DN,2014,Ford,F-150
10/2/2021,177,128412,129094,682,CS,2014,Ford,F-150
10/9/2021,177,129094,129666,572,CS,2014,Ford,F-150
10/16/2021,177,129666,130216,550,CS,2014,Ford,F-150
10/23/2021,177,130216,130537,321,CS,2014,Ford,F-150
10/30/2021,177,130537,130979,442,CS,2014,Ford,F-150
11/6/2021,177,130979,131523,544,CS,2014,Ford,F-150
11/13/2021,177,131523,132072,549,CS,2014,Ford,F-150
11/20/2021,177,132072,132681,609,CS,2014,Ford,F-150
12/4/2021,177,132992,133206,214,CS,2014,Ford,F-150
10/2/2021,179,187412,187562,150,DN,2014,Ford,F-150
10/9/2021,179,187562,187712,150,DN,2014,Ford,F-150
10/16/2021,179,188162,188252,90,DN,2014,Ford,F-150
10/23/2021,179,188252,188322,70,DN,2014,Ford,F-150
11/6/2021,179,189172,189342,170,DN,2014,Ford,F-150
11/20/2021,179,189342,189462,120,DN,2014,Ford,F-150
11/27/2021,179,189462,189632,170,DN,2014,Ford,F-150
12/4/2021,179,189632,189792,160,DN,2014,Ford,F-150
12/11/2021,179,189900,190050,150,DN,2014,Ford,F-150
12/18/2021,179,190050,190235,185,DN,2014,Ford,F-150
12/25/2021,179,190235,190295,60,DN,2014,Ford,F-150
1/15/2022,179,190700,190855,155,DN,2014,Ford,F-150
1/22/2022,179,190975,191125,150,DN,2014,Ford,F-150
2/5/2022,179,191125,191215,90,DN,2014,Ford,F-150
2/12/2022,179,191400,191680,280,DN,2014,Ford,F-150
2/19/2022,179,191686,191836,150,DN,2014,Ford,F-150
2/26/2022,179,191836,192031,195,DN,2014,Ford,F-150
11/27/2021,183,114484,114636,152,DN,2014,Ford,F-150
2/19/2022,183,114648,114789,141,DN,2014,Ford,F-150
3/5/2022,183,114952,115142,190,DN,2014,Ford,F-150
3/12/2022,183,115259,115459,200,DN,2014,Ford,F-150
3/26/2022,183,115880,116120,240,DN,2014,Ford,F-150
10/2/2021,184,126171,126543,372,DN,2014,Ford,F-150
10/9/2021,184,126543,126959,416,DN,2014,Ford,F-150
10/16/2021,184,126959,127443,484,DN,2014,Ford,F-150
10/23/2021,184,127443,127801,358,DN,2014,Ford,F-150
10/30/2021,184,127801,128059,258,DN,2014,Ford,F-150
11/6/2021,184,128059,128463,404,DN,2014,Ford,F-150
11/13/2021,184,128463,128910,447,DN,2014,Ford,F-150
11/20/2021,184,128910,129315,405,DN,2014,Ford,F-150
11/27/2021,184,129315,129568,253,DN,2014,Ford,F-150
12/4/2021,184,129568,129913,345,DN,2014,Ford,F-150
