Vehicle,WE_10/2/2021,WE_10/9/2021,WE_10/16/2021,WE_10/23/2021,WE_10/30/2021,WE_11/6/2021,WE_11/13/2021,WE_11/20/2021,WE_11/27/2021,WE_12/4/2021,WE_12/11/2021,WE_12/18/2021,WE_12/25/2021,WE_1/1/2022,WE_1/8/2022,WE_1/15/2022,WE_1/22/2022,WE_1/29/2022,WE_2/5/2022,WE_2/12/2022,WE_2/19/2022,WE_2/26/2022,WE_3/5/2022,WE_3/12/2022,WE_3/19/2022,WE_3/26/2022,WE_4/2/2022,WE_4/9/2022,WE_4/16/2022
160,66002,66037,66063,66131,66246,66315,66361,66442,,66514,66570,66629,66667,66707,66776,66839,66885,66942,6700,67057,67115,67177,67234,67292,67332,,67377,,
174,154342,154914,155602,156400,157105,157600,,158498,158900,,,160152,160535,160931,161420,161910,162421,163023,163456,164100,164613,165070,165543,165911,166378,,,,
179,187562,187712,188252,188322,,189342,,189462,189632,189792,190050,190235,190295,,,190855,191125,,191215,191680,191836,192031,,,,,,,
184,126543,126959,127443,127801,128059,128463,128910,129315,129568,129913,,130597,130732,130910,131058,131310,131410,131529,131770,132205,132533,132743,133138,133481,133895,134294,,,
185,,,124811,,125181,125266,125436,125744,125912,126172,126462,126601,,,,127753,127960,128133,128327,128642,128943,128966,129637,1301105,130676,131350,,,
186,,116308,116802,117262,117732,118164,118560,119327,119774,120532,121087,121550,,,,123400,124224,124714,125196,,126144,126629,127379,127935,,129200,130074,130574,130809
187,,134125,134770,135171,135687,136120,136515,136882,137022,137351,137477,137557,,,,138263,138483,138760,,,139137,139266,139641,139965,140078,140680,141298,141678,142074
190,,124034,124523,125084,125604,126140,126727,127277,,128093,128472,128812,,,,130051,130397,130631,,131032,131358,131512,131924,132171,132474,132996,133382,133966,134417
191,,218940,219868,219962,220940,221720,222380,223310,223720,224220,224940,225600,226050,226450,227050,227790,228150,228450,228840,230040,,,230920,231260,231850,232330,,,
192,137008,137673,,138715,139091,139517,139983,140536,140818,141167,141555,142208,142659,143026,143473,143929,144450,144847,145095,145501,146306,146783,147459,147998,148298,,,,
193,123403,124228,124952,125669,126014,126870,127476,127854,128002,128149,,128463,128708,129011,129730,130150,130481,130679,130778,131063,131472,131541,132059,132462,132825,149532,149627,,
195,130338,130901,131435,132218,132628,133171,133619,134546,134918,135368,136071,136783,137129,137668,137887,,,,,,,140875,,141759,142543,143241,144260,,
198,,,,,,91810,92274,92767,93382,93945,94447,94840,95131,,96047,96482,96784,97027,97487,97908,98108,,,,,,,,
200,135824,136192,136524,137063,137348,138014,138369,138606,,138938,139298,139512,139621,139842,140062,140288,,140542,140705,,141437,,142007,142309,142559,,,,
203,,,67506,,,68550,68885,,69360,69931,70421,70899,71108,71218,71781,72187,72639,73111,73678,74239,74559,74818,75317,,75976,76381,76688,,
