Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,147,211705,211947,242,DN,2008,Chevy,Silverado
10/23/2021,147,212838,212893,55,DN,2008,Chevy,Silverado
1/1/2022,147,212893,212923,30,DN,2008,Chevy,Silverado
1/29/2022,147,212963,213013,50,DN,2008,Chevy,Silverado
2/5/2022,147,213013,213063,50,DN,2008,Chevy,Silverado
2/12/2022,147,213065,213141,76,DN,2008,Chevy,Silverado
2/19/2022,147,213141,213179,38,DN,2008,Chevy,Silverado
2/26/2022,147,213179,213247,68,DN,2008,Chevy,Silverado
3/26/2022,147,213247,213393,146,DN,2008,Chevy,Silverado
4/2/2022,147,213393,213433,40,DN,2008,Chevy,Silverado
