Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,193,122832,123403,571,CS,2013,Ford,F-150
10/9/2021,193,123403,124228,825,CS,2013,Ford,F-150
10/9/2021,193,124228,124952,724,CS,2013,Ford,F-150
10/23/2021,193,124952,125669,717,CS,2013,Ford,F-150
10/30/2021,193,125669,126014,345,CS,2013,Ford,F-150
11/6/2021,193,126014,126870,856,CS,2013,Ford,F-150
11/13/2021,193,127317,127476,159,CS,2013,Ford,F-150
11/20/2021,193,127476,127854,378,CS,2013,Ford,F-150
11/27/2021,193,127854,128002,148,CS,2013,Ford,F-150
12/4/2021,193,128002,128149,147,CS,2013,Ford,F-150
12/18/2021,193,128149,128463,314,CS,2013,Ford,F-150
12/25/2021,193,128463,128708,245,CS,2013,Ford,F-150
1/1/2022,193,128708,129011,303,CS,2013,Ford,F-150
1/8/2022,193,129011,129730,719,CS,2013,Ford,F-150
1/15/2022,193,129730,130150,420,PK,2013,Ford,F-150
1/22/2022,193,130150,130481,331,PK,2013,Ford,F-150
1/29/2022,193,130481,130679,198,PK,2013,Ford,F-150
2/5/2022,193,130679,130778,99,PK,2013,Ford,F-150
2/12/2022,193,130778,131063,285,PK,2013,Ford,F-150
2/26/2022,193,131063,131472,409,PK,2013,Ford,F-150
2/26/2022,193,131472,131541,69,PK,2013,Ford,F-150
3/5/2022,193,131541,132059,518,PK,2013,Ford,F-150
3/12/2022,193,132059,132462,403,PK,2013,Ford,F-150
3/26/2022,193,132462,132825,363,PK,2013,Ford,F-150
3/26/2022,193,149490,149532,42,PK,2013,Ford,F-150
4/2/2022,193,149532,149627,95,PK,2013,Ford,F-150
