Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,212,145620
2,10/9/2021,212,
3,10/16/2021,212,147455
4,10/23/2021,212,148613
5,10/30/2021,212,149865
6,11/6/2021,212,150674
7,11/13/2021,212,
8,11/20/2021,212,151648
9,11/27/2021,212,152319
10,12/4/2021,212,153440
11,12/11/2021,212,154367
12,12/18/2021,212,155337
13,12/25/2021,212,
14,1/1/2022,212,
15,1/8/2022,212,156080
16,1/15/2022,212,157594
17,1/22/2022,212,158493
18,1/29/2022,212,159498
19,2/5/2022,212,160390
20,2/12/2022,212,161483
21,2/19/2022,212,162513
22,2/26/2022,212,163430
23,3/5/2022,212,164377
24,3/12/2022,212,165219
25,3/19/2022,212,166240
26,3/26/2022,212,167208
27,4/2/2022,212,168234
28,4/9/2022,212,
29,4/16/2022,212,
