Week_Ending,Ending_Mileage
10/2/2021,
10/9/2021,134125
10/16/2021,134770
10/23/2021,135171
10/30/2021,135687
11/6/2021,136120
11/13/2021,136515
11/20/2021,136882
11/27/2021,137022
12/4/2021,137351
12/11/2021,137477
12/18/2021,137557
12/25/2021,
1/1/2022,
1/8/2022,
1/15/2022,138263
1/22/2022,138483
1/29/2022,138760
2/5/2022,
2/12/2022,
2/19/2022,139137
2/26/2022,139266
3/5/2022,139641
3/12/2022,139965
3/19/2022,140078
3/26/2022,140680
4/2/2022,141298
4/9/2022,141678
4/16/2022,142074
