Week_Ending,Pred_Ending_Mileage
2021-10-02,
2021-10-09,218940.0
2021-10-16,219868.0
2021-10-23,219962.0
2021-10-30,220940.0
2021-11-06,221720.0
2021-11-13,222380.0
2021-11-20,223310.0
2021-11-27,223720.0
2021-12-04,224220.0
2021-12-11,224940.0
2021-12-18,225600.0
2021-12-25,226050.0
2022-01-01,226450.0
2022-01-08,227050.0
2022-01-15,227790.0
2022-01-22,228150.0
2022-01-29,228450.0
2022-02-05,228840.0
2022-02-12,230040.0
2022-02-19,230333.33333333334
2022-02-26,230626.66666666666
2022-03-05,230920.0
2022-03-12,231260.0
2022-03-19,231850.0
2022-03-26,232330.0
2022-04-02,232330.0
2022-04-09,232330.0
2022-04-16,232330.0
